Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Alex Abrines,SG,25,OKC,3,0,20.3,2.3,6.3,.368,1.3,4.7,.286,1.0,1.7,.600,.474,0.0,0.0,,0.3,1.3,1.7,1.0,0.3,0.0,0.7,0.7,6.0
Jaylen Adams,G,22,ATL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Steven Adams,C,25,OKC,3,3,34.3,5.7,10.0,.567,0.0,0.0,,5.7,10.0,.567,.567,3.3,6.0,.556,6.0,8.3,14.3,1.3,1.7,1.0,1.7,3.3,14.7
Bam Adebayo,C,21,MIA,3,0,18.3,2.7,6.3,.421,0.0,0.3,.000,2.7,6.0,.444,.421,3.0,4.0,.750,2.3,5.3,7.7,0.7,0.3,0.7,1.7,2.7,8.3
LaMarcus Aldridge,C,33,SAS,2,2,39.0,6.5,18.0,.361,0.0,1.0,.000,6.5,17.0,.382,.361,3.5,5.5,.636,6.5,7.0,13.5,3.5,1.0,2.0,1.0,1.0,16.5
Jarrett Allen,C,20,BRK,3,3,28.3,5.3,8.3,.640,0.7,1.7,.400,4.7,6.7,.700,.680,2.0,3.3,.600,1.7,6.3,8.0,0.0,0.0,3.0,2.7,1.3,13.3
Al-Farouq Aminu,F,28,POR,2,2,28.0,2.0,7.5,.267,1.0,4.5,.222,1.0,3.0,.333,.333,2.5,3.0,.833,0.0,6.0,6.0,0.5,0.5,0.5,0.5,3.0,7.5
Kyle Anderson,SF,25,MEM,2,0,19.5,1.5,4.5,.333,0.0,0.5,.000,1.5,4.0,.375,.333,1.0,2.0,.500,0.0,3.0,3.0,2.5,2.0,0.5,2.5,2.0,4.0
Ryan Anderson,PF,30,PHO,2,2,23.0,2.0,7.5,.267,1.0,4.5,.222,1.0,3.0,.333,.333,0.0,0.0,,2.0,2.0,4.0,2.5,0.0,0.0,0.5,0.5,5.0
Ike Anigbogu,F-C,20,IND,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Giannis Antetokounmpo,PF,24,MIL,2,2,33.5,10.5,22.0,.477,0.0,5.0,.000,10.5,17.0,.618,.477,4.5,7.5,.600,3.0,13.5,16.5,6.5,1.0,1.0,7.0,4.5,25.5
Carmelo Anthony,PF,34,HOU,3,0,27.7,3.0,9.3,.321,1.0,5.0,.200,2.0,4.3,.462,.375,1.3,2.0,.667,0.7,6.0,6.7,0.7,0.3,0.3,1.7,3.0,8.3
OG Anunoby,SF,21,TOR,3,1,22.7,3.7,6.3,.579,1.0,2.7,.375,2.7,3.7,.727,.658,0.0,0.0,,1.0,1.7,2.7,0.3,0.7,0.0,1.0,3.3,8.3
Ryan Arcidiacono,G,24,CHI,2,0,24.0,2.0,3.5,.571,1.5,2.5,.600,0.5,1.0,.500,.786,0.0,0.0,,0.0,2.5,2.5,7.5,0.0,0.0,0.5,0.0,5.5
Trevor Ariza,SF,33,PHO,2,2,33.0,4.5,9.5,.474,3.0,7.5,.400,1.5,2.0,.750,.632,1.0,1.0,1.000,0.5,5.0,5.5,4.0,0.5,0.5,1.5,2.0,13.0
D.J. Augustin,PG,31,ORL,3,3,26.0,2.3,7.3,.318,0.3,2.0,.167,2.0,5.3,.375,.341,2.3,2.3,1.000,0.7,1.0,1.7,4.3,0.3,0.0,1.3,0.3,7.3
Deandre Ayton,F-C,20,PHO,2,2,29.5,5.0,9.0,.556,0.0,0.0,,5.0,9.0,.556,.556,1.5,2.0,.750,1.0,8.0,9.0,3.5,0.5,0.5,1.0,3.5,11.5
Dwayne Bacon,G,23,CHO,1,0,8.0,2.0,5.0,.400,1.0,2.0,.500,1.0,3.0,.333,.500,2.0,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
Marvin Bagley,F,19,SAC,3,0,22.7,5.0,9.7,.517,0.0,1.0,.000,5.0,8.7,.577,.517,2.7,4.0,.667,2.7,4.0,6.7,1.0,1.3,0.3,1.7,3.3,12.7
Ron Baker,SG,25,NYK,3,0,19.3,0.3,2.3,.143,0.0,2.0,.000,0.3,0.3,1.000,.143,1.0,1.3,.750,0.0,1.3,1.3,2.3,0.3,0.0,0.7,3.7,1.7
Wade Baldwin,G,22,POR,1,0,3.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Lonzo Ball,G,21,LAL,2,0,23.0,3.5,8.5,.412,2.5,6.0,.417,1.0,2.5,.400,.559,1.0,1.0,1.000,1.5,3.5,5.0,2.5,0.5,0.0,0.5,2.5,10.5
Mohamed Bamba,C,20,ORL,3,0,19.3,2.7,5.3,.500,0.7,2.0,.333,2.0,3.3,.600,.563,0.0,0.7,.000,1.7,2.7,4.3,1.3,0.0,2.0,0.7,1.0,6.0
J.J. Barea,PG,34,DAL,2,0,21.0,3.5,9.0,.389,1.5,4.0,.375,2.0,5.0,.400,.472,2.0,2.5,.800,0.5,1.5,2.0,10.5,1.5,0.0,0.5,1.5,10.5
Will Barton,SG,28,DEN,2,2,27.0,6.0,10.5,.571,2.5,4.5,.556,3.5,6.0,.583,.690,2.0,2.0,1.000,0.0,5.0,5.0,3.0,0.5,1.0,1.5,2.5,16.5
Nicolas Batum,SG,30,CHO,3,3,34.7,3.3,8.7,.385,2.0,5.0,.400,1.3,3.7,.364,.500,0.7,0.7,1.000,0.7,5.0,5.7,4.0,1.7,0.7,1.7,1.3,9.3
Aron Baynes,C,32,BOS,3,1,15.0,2.7,6.7,.400,1.0,2.7,.375,1.7,4.0,.417,.475,1.3,1.7,.800,3.3,1.7,5.0,1.0,0.0,0.3,0.7,1.7,7.7
Kent Bazemore,SG,29,ATL,3,3,28.3,4.7,9.3,.500,2.0,4.7,.429,2.7,4.7,.571,.607,2.0,3.0,.667,1.3,5.0,6.3,1.7,1.7,1.0,2.0,3.0,13.3
Bradley Beal,G,25,WAS,2,2,31.0,9.5,18.5,.514,4.0,9.0,.444,5.5,9.5,.579,.622,3.0,5.0,.600,0.0,2.0,2.0,4.0,1.0,0.5,1.0,5.0,26.0
Malik Beasley,SG,22,DEN,3,0,10.3,1.3,3.3,.400,0.3,1.3,.250,1.0,2.0,.500,.450,0.0,0.0,,0.3,1.3,1.7,0.3,0.7,0.0,0.7,1.7,3.0
Michael Beasley,F,30,LAL,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Belinelli,SG,32,SAS,2,0,19.0,1.5,6.0,.250,1.0,2.5,.400,0.5,3.5,.143,.333,2.0,2.5,.800,0.0,2.5,2.5,2.5,0.0,0.0,0.5,2.0,6.0
Jordan Bell,C,24,GSW,2,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,1.0
DeAndre' Bembry,SF,24,ATL,3,0,24.0,3.3,7.7,.435,1.3,2.0,.667,2.0,5.7,.353,.522,1.0,2.7,.375,0.3,3.0,3.3,2.0,1.7,0.3,2.7,2.0,9.0
Dragan Bender,F,21,PHO,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Davis Bertans,PF,26,SAS,2,0,19.0,3.5,6.0,.583,3.0,5.0,.600,0.5,1.0,.500,.833,0.0,0.0,,1.5,1.0,2.5,2.0,0.0,0.5,0.5,0.5,10.0
Patrick Beverley,SG,30,LAC,3,3,22.7,0.7,5.7,.118,0.3,3.7,.091,0.3,2.0,.167,.147,2.0,2.0,1.000,0.3,3.7,4.0,4.3,1.3,0.3,1.3,3.3,3.7
Khem Birch,C-F,26,ORL,1,0,10.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C-F,26,CHO,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Nemanja Bjelica,PF,30,SAC,3,3,23.0,5.0,7.7,.652,1.3,2.0,.667,3.7,5.7,.647,.739,0.0,0.0,,0.3,4.3,4.7,2.3,1.3,0.3,0.3,2.3,11.3
Antonio Blakeney,G,22,CHI,2,0,26.0,5.5,11.0,.500,0.5,1.5,.333,5.0,9.5,.526,.523,1.0,1.5,.667,0.0,4.5,4.5,1.0,0.5,0.0,0.5,1.0,12.5
Eric Bledsoe,PG,29,MIL,2,2,30.0,6.0,11.0,.545,2.5,5.0,.500,3.5,6.0,.583,.659,0.0,0.0,,2.5,2.5,5.0,5.0,1.0,1.5,1.0,3.0,14.5
